VVV model number/ spec name -> ,run_model,trials_included,weighted_by,spines_included,inclusion_based_on,integration,somatic_function,run_shuffles,save_trace_images,kyle runs
1,TRUE,all_trials,democratic_weights,all_spines,_,linear,identity,TRUE,TRUE,TRUE
2,FALSE,no_bap_trials,democratic_weights,all_spines,_,linear,identity,FALSE,FALSE,FALSE
3,FALSE,all_trials,democratic_weights,only,responsive_spines,linear,identity,FALSE,FALSE,FALSE
4,FALSE,all_trials,democratic_weights,only,unresponsive_spines,linear,identity,FALSE,FALSE,FALSE
5,TRUE,all_trials,democratic_weights,only,apical_spines,linear,identity,FALSE,FALSE,TRUE
6,TRUE,all_trials,democratic_weights,only,basal_spines,linear,identity,FALSE,FALSE,TRUE
7,TRUE,all_trials,corr_to_nearest_resp_spine,only,responsive_spines,linear,identity,FALSE,FALSE,TRUE
8,TRUE,all_trials,democratic_weights,only,responsive_spines,linear,identity,FALSE,FALSE,TRUE
9,FALSE,all_trials,dist_to_nearest_resp_spine,only,responsive_spines,linear,identity,FALSE,FALSE,FALSE
10,FALSE,all_trials,spine_amplitude,all_spines,_,linear,identity,FALSE,FALSE,FALSE
11,TRUE,all_trials,spine_size,all_spines,_,linear,identity,FALSE,FALSE,TRUE
12,TRUE,all_trials,spine_distance_from_soma,all_spines,_,linear,identity,FALSE,FALSE,TRUE
13,FALSE,all_trials,size_AND_dist,all_spines,_,linear,identity,FALSE,FALSE,FALSE
14,FALSE,all_trials,spine_neck_length,all_spines,_,linear,identity,FALSE,FALSE,FALSE
15,TRUE,all_trials,one_over_peak_height,all_spines,_,linear,identity,FALSE,FALSE,TRUE
16,TRUE,all_trials,spine_osi,all_spines,_,linear,identity,FALSE,FALSE,TRUE
17,TRUE,all_trials,spine_dsi,all_spines,_,linear,identity,FALSE,FALSE,TRUE
18,TRUE,all_trials,spine_reliability,all_spines,_,linear,identity,FALSE,FALSE,TRUE
19,,,,,,,,,,
20,TRUE,all_trials,democratic_weights,top_50_percentile,spine_amplitude,linear,identity,FALSE,FALSE,TRUE
21,TRUE,all_trials,democratic_weights,bottom_50_percentile,spine_amplitude,linear,identity,FALSE,FALSE,TRUE
22,TRUE,all_trials,democratic_weights,top_20_percentile,spine_amplitude,linear,identity,FALSE,FALSE,TRUE
23,TRUE,all_trials,democratic_weights,bottom_20_percentile,spine_amplitude,linear,identity,FALSE,FALSE,TRUE
24,,,,,,,,,,
25,TRUE,all_trials,democratic_weights,top_20_percentile,random_integers,linear,identity,TRUE,TRUE,TRUE
26,,,,,,,,,,
27,TRUE,all_trials,democratic_weights,top_50_percentile,spine_size,linear,identity,FALSE,FALSE,TRUE
28,TRUE,all_trials,democratic_weights,bottom_50_percentile,spine_size,linear,identity,FALSE,FALSE,TRUE
29,TRUE,all_trials,democratic_weights,top_20_percentile,spine_size,linear,identity,FALSE,FALSE,TRUE
30,TRUE,all_trials,democratic_weights,bottom_20_percentile,spine_size,linear,identity,FALSE,FALSE,TRUE
31,,,,,,,,,,
32,TRUE,all_trials,democratic_weights,top_50_percentile,spine_osi,linear,identity,FALSE,FALSE,TRUE
33,TRUE,all_trials,democratic_weights,bottom_50_percentile,spine_osi,linear,identity,FALSE,FALSE,TRUE
34,TRUE,all_trials,democratic_weights,top_20_percentile,spine_osi,linear,identity,FALSE,FALSE,TRUE
35,TRUE,all_trials,democratic_weights,bottom_20_percentile,spine_osi,linear,identity,FALSE,FALSE,TRUE
36,,,,,,,,,,
37,FALSE,all_trials,democratic_weights,all_spines,_,unrectified_linear,identity,FALSE,FALSE,FALSE
38,FALSE,all_trials,democratic_weights,all_spines,_,sigmoid,identity,FALSE,FALSE,FALSE
39,,,,,,,,,,
